Plate,Col,Row,Compound,Compound Name,SMILES,Formula,Molecular Weight,LogP,LogSW,Rotatable Bonds,Hdon,Hacc,tPSA,Salt Form,Form,Stereochemistry,Price group,Structure
1,1,A,DMSO,,,,,,,,,,,,,,,
1,2,A,DMSO,,,,,,,,,,,,,,,
1,3,A,DMSO,,,,,,,,,,,,,,,
1,4,A,DMSO,,,,,,,,,,,,,,,
1,5,A,20653979,,,,,,,,,,,,,,,
1,6,A,16379452,,,,,,,,,,,,,,,
1,7,A,28782790,,,,,,,,,,,,,,,
1,8,A,22643854,,,,,,,,,,,,,,,
1,9,A,80798140,,,,,,,,,,,,,,,
1,10,A,46517587,,,,,,,,,,,,,,,
1,11,A,14277648,,,,,,,,,,,,,,,
1,12,A,40966617,,,,,,,,,,,,,,,
1,13,A,70200599,,,,,,,,,,,,,,,
1,14,A,50553883,,,,,,,,,,,,,,,
1,15,A,11480427,,,,,,,,,,,,,,,
1,16,A,53114899,,,,,,,,,,,,,,,
1,17,A,90882964,,,,,,,,,,,,,,,
1,18,A,22267818,,,,,,,,,,,,,,,
1,19,A,45959132,,,,,,,,,,,,,,,
1,20,A,55918226,,,,,,,,,,,,,,,
1,21,A,45955270,,,,,,,,,,,,,,,
1,22,A,84680655,,,,,,,,,,,,,,,
1,23,A,58053611,,,,,,,,,,,,,,,
1,24,A,16246662,,,,,,,,,,,,,,,
1,25,A,36102859,,,,,,,,,,,,,,,
1,26,A,14723592,,,,,,,,,,,,,,,
1,27,A,88043021,,,,,,,,,,,,,,,
1,28,A,65469029,,,,,,,,,,,,,,,
1,29,A,24639872,,,,,,,,,,,,,,,
1,30,A,55913187,,,,,,,,,,,,,,,
1,31,A,38313908,,,,,,,,,,,,,,,
1,32,A,69201641,,,,,,,,,,,,,,,
1,33,A,86259556,,,,,,,,,,,,,,,
1,34,A,29336946,,,,,,,,,,,,,,,
1,35,A,69929983,,,,,,,,,,,,,,,
1,36,A,76567986,,,,,,,,,,,,,,,
1,37,A,12823120,,,,,,,,,,,,,,,
1,38,A,57533100,,,,,,,,,,,,,,,
